filename,start_s,end_s,emotion,emotion_code,intensity,actor,valence
sim_actor02_call01.wav,0.0,3.77,neutral,01,01,02,neutral
sim_actor02_call01.wav,4.52,8.358,calm,02,01,02,neutral
sim_actor02_call01.wav,9.108,12.878,neutral,01,01,02,neutral
sim_actor02_call01.wav,13.628,17.398,neutral,01,01,02,neutral
sim_actor02_call01.wav,18.148,22.152,calm,02,01,02,neutral
sim_actor02_call01.wav,22.902,26.74,calm,02,01,02,neutral
sim_actor02_call01.wav,27.49,31.26,neutral,01,01,02,neutral
sim_actor02_call01.wav,32.01,35.847,calm,02,01,02,neutral
sim_actor02_call01.wav,36.597,40.368,neutral,01,01,02,neutral
sim_actor02_call01.wav,41.118,44.755,neutral,01,01,02,neutral
sim_actor02_call01.wav,45.505,49.342,calm,02,01,02,neutral
sim_actor02_call01.wav,50.092,53.696,neutral,01,01,02,neutral
sim_actor02_call01.wav,54.446,58.083,neutral,01,01,02,neutral
sim_actor02_call01.wav,58.833,62.803,calm,02,01,02,neutral
sim_actor02_call01.wav,63.553,67.524,calm,02,01,02,neutral
sim_actor02_call01.wav,68.274,72.044,neutral,01,01,02,neutral
sim_actor02_call01.wav,72.794,76.631,calm,02,01,02,neutral
sim_actor02_call01.wav,77.381,81.018,neutral,01,01,02,neutral
sim_actor02_call01.wav,81.768,85.739,calm,02,01,02,neutral
sim_actor02_call01.wav,86.489,90.326,calm,02,01,02,neutral
sim_actor02_call01.wav,91.076,94.913,calm,02,01,02,neutral
sim_actor02_call01.wav,95.663,99.267,neutral,01,01,02,neutral
sim_actor02_call01.wav,100.017,103.654,neutral,01,01,02,neutral
sim_actor02_call01.wav,104.404,108.008,neutral,01,01,02,neutral
sim_actor02_call01.wav,108.758,112.361,neutral,01,01,02,neutral
sim_actor02_call01.wav,113.111,116.948,calm,02,01,02,neutral
sim_actor02_call01.wav,117.698,121.302,neutral,01,01,02,neutral
sim_actor02_call01.wav,122.052,126.023,calm,02,01,02,neutral
sim_actor02_call01.wav,126.773,130.543,neutral,01,01,02,neutral
