filename,start_s,end_s,emotion,emotion_code,intensity,actor,valence
sim_actor02_call02.wav,0.0,3.837,calm,02,01,02,neutral
sim_actor02_call02.wav,4.587,8.591,calm,02,01,02,neutral
sim_actor02_call02.wav,9.341,13.345,calm,02,01,02,neutral
sim_actor02_call02.wav,14.095,17.932,calm,02,01,02,neutral
sim_actor02_call02.wav,18.682,22.653,calm,02,01,02,neutral
sim_actor02_call02.wav,23.403,27.007,neutral,01,01,02,neutral
sim_actor02_call02.wav,27.757,31.594,sad,04,01,02,low_activation
sim_actor02_call02.wav,32.344,35.981,fearful,06,01,02,high_activation
sim_actor02_call02.wav,36.731,40.535,fearful,06,02,02,high_activation
sim_actor02_call02.wav,41.285,44.888,neutral,01,01,02,neutral
sim_actor02_call02.wav,45.638,49.475,calm,02,01,02,neutral
sim_actor02_call02.wav,50.225,54.196,calm,02,01,02,neutral
sim_actor02_call02.wav,54.946,58.716,sad,04,01,02,low_activation
sim_actor02_call02.wav,59.466,63.237,angry,05,01,02,high_activation
sim_actor02_call02.wav,63.987,67.991,angry,05,02,02,high_activation
sim_actor02_call02.wav,68.741,72.745,angry,05,02,02,high_activation
sim_actor02_call02.wav,73.495,77.165,angry,05,01,02,high_activation
sim_actor02_call02.wav,77.915,81.586,angry,05,01,02,high_activation
sim_actor02_call02.wav,82.336,86.34,angry,05,02,02,high_activation
sim_actor02_call02.wav,87.09,90.693,neutral,01,01,02,neutral
sim_actor02_call02.wav,91.443,95.281,calm,02,01,02,neutral
sim_actor02_call02.wav,96.031,100.001,calm,02,01,02,neutral
sim_actor02_call02.wav,100.751,104.388,neutral,01,01,02,neutral
sim_actor02_call02.wav,105.138,108.742,neutral,01,01,02,neutral
sim_actor02_call02.wav,109.492,113.329,calm,02,01,02,neutral
sim_actor02_call02.wav,114.079,118.05,calm,02,01,02,neutral
sim_actor02_call02.wav,118.8,122.77,calm,02,01,02,neutral
sim_actor02_call02.wav,123.52,127.124,neutral,01,01,02,neutral
sim_actor02_call02.wav,127.874,131.477,neutral,01,01,02,neutral
sim_actor02_call02.wav,132.227,136.231,calm,02,01,02,neutral
sim_actor02_call02.wav,136.981,140.819,calm,02,01,02,neutral
