filename,start_s,end_s,emotion,emotion_code,intensity,actor,valence
sim_actor02_call10.wav,0.0,3.637,fearful,06,02,02,high_activation
sim_actor02_call10.wav,4.387,8.124,fearful,06,01,02,high_activation
sim_actor02_call10.wav,8.874,12.611,fearful,06,01,02,high_activation
sim_actor02_call10.wav,13.361,16.998,fearful,06,02,02,high_activation
sim_actor02_call10.wav,17.748,21.485,fearful,06,01,02,high_activation
sim_actor02_call10.wav,22.235,26.239,calm,02,01,02,neutral
sim_actor02_call10.wav,26.989,30.626,neutral,01,01,02,neutral
sim_actor02_call10.wav,31.376,34.98,neutral,01,01,02,neutral
sim_actor02_call10.wav,35.73,39.7,calm,02,01,02,neutral
sim_actor02_call10.wav,40.45,44.221,neutral,01,01,02,neutral
sim_actor02_call10.wav,44.971,48.741,neutral,01,01,02,neutral
sim_actor02_call10.wav,49.491,53.095,neutral,01,01,02,neutral
sim_actor02_call10.wav,53.845,57.449,neutral,01,01,02,neutral
sim_actor02_call10.wav,58.199,61.802,neutral,01,01,02,neutral
sim_actor02_call10.wav,62.552,66.189,neutral,01,01,02,neutral
sim_actor02_call10.wav,66.939,70.776,calm,02,01,02,neutral
sim_actor02_call10.wav,71.526,75.364,calm,02,01,02,neutral
sim_actor02_call10.wav,76.114,79.951,calm,02,01,02,neutral
sim_actor02_call10.wav,80.701,84.538,calm,02,01,02,neutral
sim_actor02_call10.wav,85.288,89.259,calm,02,01,02,neutral
sim_actor02_call10.wav,90.009,94.013,calm,02,01,02,neutral
sim_actor02_call10.wav,94.763,98.767,calm,02,01,02,neutral
sim_actor02_call10.wav,99.517,103.521,calm,02,01,02,neutral
sim_actor02_call10.wav,104.271,108.041,neutral,01,01,02,neutral
sim_actor02_call10.wav,108.791,112.795,calm,02,01,02,neutral
sim_actor02_call10.wav,113.545,117.382,calm,02,01,02,neutral
sim_actor02_call10.wav,118.132,121.736,neutral,01,01,02,neutral
sim_actor02_call10.wav,122.486,126.323,calm,02,01,02,neutral
sim_actor02_call10.wav,127.073,130.843,neutral,01,01,02,neutral
sim_actor02_call10.wav,131.593,135.197,neutral,01,01,02,neutral
sim_actor02_call10.wav,135.947,139.551,neutral,01,01,02,neutral
sim_actor02_call10.wav,140.301,144.271,calm,02,01,02,neutral
