filename,start_s,end_s,emotion,emotion_code,intensity,actor,valence
sim_actor01_call05.wav,0.0,3.604,calm,02,01,01,neutral
sim_actor01_call05.wav,4.354,7.957,calm,02,01,01,neutral
sim_actor01_call05.wav,8.707,12.244,calm,02,01,01,neutral
sim_actor01_call05.wav,12.994,16.331,neutral,01,01,01,neutral
sim_actor01_call05.wav,17.081,20.551,calm,02,01,01,neutral
sim_actor01_call05.wav,21.301,24.838,calm,02,01,01,neutral
sim_actor01_call05.wav,25.588,28.958,sad,04,01,01,low_activation
sim_actor01_call05.wav,29.708,33.211,sad,04,01,01,low_activation
sim_actor01_call05.wav,33.961,37.332,sad,04,01,01,low_activation
sim_actor01_call05.wav,38.082,41.452,sad,04,01,01,low_activation
sim_actor01_call05.wav,42.202,46.106,disgust,07,01,01,low_activation
sim_actor01_call05.wav,46.856,50.426,sad,04,01,01,low_activation
sim_actor01_call05.wav,51.176,54.613,fearful,06,01,01,high_activation
sim_actor01_call05.wav,55.363,58.799,fearful,06,01,01,high_activation
sim_actor01_call05.wav,59.549,63.253,fearful,06,01,01,high_activation
sim_actor01_call05.wav,64.003,67.673,fearful,06,01,01,high_activation
sim_actor01_call05.wav,68.423,71.86,fearful,06,01,01,high_activation
sim_actor01_call05.wav,72.61,76.514,fearful,06,02,01,high_activation
sim_actor01_call05.wav,77.264,80.701,fearful,06,01,01,high_activation
sim_actor01_call05.wav,81.451,85.155,fearful,06,01,01,high_activation
sim_actor01_call05.wav,85.905,89.075,neutral,01,01,01,neutral
sim_actor01_call05.wav,89.825,93.128,neutral,01,01,01,neutral
sim_actor01_call05.wav,93.878,97.215,neutral,01,01,01,neutral
sim_actor01_call05.wav,97.965,101.435,calm,02,01,01,neutral
sim_actor01_call05.wav,102.185,105.455,neutral,01,01,01,neutral
sim_actor01_call05.wav,106.205,109.541,neutral,01,01,01,neutral
sim_actor01_call05.wav,110.291,113.795,calm,02,01,01,neutral
sim_actor01_call05.wav,114.545,118.148,calm,02,01,01,neutral
sim_actor01_call05.wav,118.898,122.402,calm,02,01,01,neutral
